filename,centerpoints
synth_mixture_23.tif,sl;59.21;73.11;67.16;pp;83.22;58.62;34.05;bp;79.02;15.02;57.23;cf;61.29;76.07;15.6;cf;60.93;25.34;27.4;bp;34.85;13.58;76.72;bl;27.36;44.47;75.75;wo;36.31;80.66;31.16
synth_mixture_24.tif,wo;75.19;59.37;57.95;bc;55.36;69.41;68.69;sl;53.83;54.19;42.76;gh;53.76;26.34;66.67;bf;51.1;28.06;25.16;ma;103.17;79.63;40.62;wo;28.67;72.58;77.68;pp;54.85;76.77;15.39
synth_mixture_25.tif,ma;84.62;60.91;58.66;bf;50.58;69.89;69.8;pp;84.67;53.91;34.2;bc;59.67;24.9;65.4;wo;105.18;47.65;61.47;bc;57.03;44.02;22.16;wo;30.11;63.36;27.36
synth_mixture_26.tif,bp;89.19;60.41;60.78;wo;70.58;71.9;79.5;bc;57.73;63.41;51.87;bl;95.01;28.18;78.41;cf;74.03;38.55;14.13;wo;50.91;12.52;70.32;cf;75.34;64.17;15.81;sl;55.52;21.86;25.23
synth_mixture_27.tif,gh;55.85;64.4;64.62;bl;93.27;72.55;47.16;pp;83.2;36.76;51.44;bf;52.3;37.05;22.56;cf;75.01;16.19;53.53;pp;88.79;76.32;13.42;cf;65.28;33.31;76.47;bl;31.81;44.18;74.0;ma;26.59;73.87;11.27;wo;106.92;39.09;33.88;bl;29.08;38.23;55.75;pp;35.54;15.47;74.12;ma;94.94;11.95;11.41;bl;102.57;79.05;78.01;bl;20.92;78.54;42.09
synth_mixture_28.tif,cf;69.5;58.72;58.8;gh;60.47;71.31;68.97;pp;87.56;54.17;33.06;bl;96.47;23.7;27.45;wo;98.9;20.0;57.11;ml;43.79;64.63;19.91;bl;43.49;34.85;62.29;ml;36.77;20.76;64.68;wo;71.22;19.45;32.99;wo;108.7;73.63;65.79;bl;22.39;13.05;14.46;wo;14.45;60.01;76.91
synth_mixture_29.tif,cf;70.72;59.26;58.8;ml;78.33;70.55;40.91;bc;52.45;51.26;68.25;gh;51.06;41.06;24.6;wo;20.12;74.95;54.41;ma;101.54;41.95;64.2;bp;89.83;15.55;67.5
synth_mixture_30.tif,bp;89.73;62.45;58.77;ac;54.82;68.06;72.15;ma;104.8;65.91;51.35;pp;87.81;33.25;56.95;pp;80.38;51.0;14.32;sl;55.31;67.96;26.82;wo;61.12;28.37;31.15;wo;64.31;26.66;80.16;ma;31.27;12.29;26.08;cf;82.9;12.63;14.45;bl;23.59;16.33;76.97;bl;23.27;75.06;77.8;bl;24.16;13.79;55.71
synth_mixture_31.tif,gh;55.43;67.63;70.18;bl;90.26;41.46;39.92;bf;44.63;69.48;26.96;bl;95.84;29.37;72.05;bf;64.63;20.87;35.11;wo;99.54;80.16;11.22;wo;64.09;18.66;76.44;ma;97.94;39.85;16.9
synth_mixture_32.tif,ml;86.0;60.87;61.82;bp;89.43;71.54;32.12;bf;51.3;28.2;68.32;bf;54.64;37.89;23.93;bp;36.35;74.48;19.22;ma;22.93;74.14;62.29;wo;102.31;55.66;21.16;wo;30.12;12.99;17.18;wo;68.21;77.57;34.45
synth_mixture_33.tif,pp;83.85;60.4;66.0;bc;44.38;68.08;68.39;ac;54.36;67.33;28.89;pp;84.46;33.83;52.94;pp;86.74;14.76;77.94;bp;87.73;32.28;24.91;bl;40.69;14.3;34.7;bl;96.41;76.0;77.24;bp;38.93;17.21;67.53;wo;113.62;18.2;72.66;wo;17.04;78.1;73.26;wo;24.28;38.32;43.56;wo;19.54;53.81;68.43;ma;36.98;29.56;13.24
synth_mixture_34.tif,ml;69.16;63.07;68.19;bf;57.93;39.92;51.75;bc;53.04;65.69;21.62;cf;69.21;14.91;72.06;wo;32.98;73.41;64.04;bl;83.11;15.82;24.59;wo;107.56;12.61;46.99;bl;34.84;25.9;17.6;wo;21.14;13.95;67.83;wo;109.95;67.53;81.16
synth_mixture_35.tif,bf;53.33;69.43;67.79;wo;85.87;26.24;60.44;wo;90.14;62.07;30.88;bp;42.08;31.85;35.47;bl;37.95;37.2;77.68;sl;57.45;66.23;28.64
synth_mixture_36.tif,bl;91.99;57.56;58.46;cf;72.24;75.17;74.68;bp;86.04;76.17;33.97;ma;79.94;52.33;24.24;wo;77.45;15.37;22.84;ac;59.39;32.55;68.21;bp;30.14;69.24;48.73;bl;32.18;53.49;20.66;wo;24.8;75.11;70.99;ma;28.81;16.22;67.49;bp;29.81;77.56;14.79;ma;22.87;12.98;32.89;wo;108.73;66.06;75.53
synth_mixture_37.tif,sl;62.88;64.16;66.73;bc;50.94;27.41;46.86;gh;54.14;65.49;22.38;bl;101.47;54.93;42.05;bl;90.13;23.37;80.15;ma;101.55;56.18;73.67;gh;51.57;22.36;23.1
synth_mixture_38.tif,gh;47.8;67.14;68.37;gh;61.85;22.7;71.57;ml;81.16;47.75;26.47;bl;59.13;17.46;17.97;wo;102.72;63.82;61.49
synth_mixture_39.tif,bc;42.68;66.79;67.58;bp;86.25;34.54;44.3;cf;70.82;54.75;25.6;sl;58.22;21.71;68.25;ml;36.54;75.08;19.87;cf;79.76;14.39;15.66;ma;97.33;74.23;39.4;wo;83.7;73.63;9.79;ma;98.41;51.7;12.04
synth_mixture_40.tif,bc;53.13;68.31;66.8;wo;91.26;44.81;58.47;pp;87.09;76.32;35.17;ml;73.4;20.42;57.1;ma;61.69;47.67;27.4;bp;81.66;19.3;16.34;wo;25.26;73.78;36.76;wo;106.57;50.96;15.69;pp;30.68;24.73;14.22;ma;23.56;76.59;74.01;cf;71.7;76.53;13.1;wo;106.92;13.26;77.06
synth_mixture_41.tif,ma;92.81;61.22;59.49;pp;75.39;75.76;39.36;ac;51.84;38.57;48.6;ml;57.81;21.34;26.31;pp;78.52;68.13;12.54
synth_mixture_42.tif,bf;50.4;69.25;66.22;ml;71.86;23.48;63.48;cf;80.42;57.72;19.78;ml;81.07;65.4;29.33;bp;89.12;29.06;31.75;bl;104.07;79.86;77.04;wo;110.51;42.63;47.56;pp;33.04;14.78;74.17;ma;96.58;15.15;10.49;ma;53.17;17.63;35.62
synth_mixture_43.tif,cf;83.37;56.48;60.77;ac;51.54;65.27;68.16;bc;50.17;25.64;64.62;pp;82.92;79.04;36.1;cf;64.32;41.2;25.74;ma;97.96;9.72;12.33;bp;84.25;74.35;14.32
synth_mixture_44.tif,ac;58.73;65.84;68.07;ac;49.63;34.59;37.9;wo;87.07;17.86;52.01;cf;67.76;77.44;24.94;ma;92.1;24.96;75.8;cf;69.81;12.91;20.15;bp;40.23;23.27;79.26;bl;32.75;44.39;12.94;ma;25.22;78.22;17.79
synth_mixture_45.tif,ml;79.45;70.49;67.32;ac;50.24;26.22;43.71;ma;99.66;57.72;33.16;wo;75.72;11.43;80.2;wo;26.92;74.26;48.98;cf;77.46;73.88;14.47
synth_mixture_46.tif,wo;91.04;58.58;63.76;ml;76.17;65.59;52.58;bc;47.52;30.35;26.56;ml;79.0;31.57;65.96;bl;26.98;74.17;32.51;ma;79.23;66.75;12.02
synth_mixture_47.tif,wo;79.36;75.45;68.65;bc;59.15;42.19;51.57;sl;49.46;33.17;22.58;bp;84.28;73.9;14.92;cf;80.1;16.71;77.43;wo;32.18;75.36;53.81;ma;105.21;52.61;73.99;ma;27.67;79.79;15.32;ma;26.56;32.38;71.05;bl;25.64;58.83;78.21;wo;28.93;11.24;12.66
synth_mixture_48.tif,cf;70.29;59.29;59.8;sl;54.92;71.52;68.96;bp;86.37;66.3;34.36;bl;49.02;29.97;78.92;bf;49.88;28.2;66.82;bp;82.86;42.47;27.8;wo;92.51;14.46;41.49;bl;92.74;12.84;18.1
synth_mixture_49.tif,bc;48.77;65.32;70.32;ml;74.59;57.09;31.96;ac;53.95;21.56;66.28;pp;83.64;16.47;31.5;bp;42.69;75.6;19.68;ma;41.7;14.65;13.1;wo;104.03;26.06;78.56;wo;18.56;10.25;66.98
synth_mixture_50.tif,ml;84.52;62.3;72.06;ma;100.84;10.29;55.82;bc;39.86;49.15;40.25;cf;71.03;26.39;76.4;bl;52.97;50.58;77.61;ma;89.27;76.29;13.08;bc;55.74;21.59;24.49;ma;98.58;45.49;15.13;ma;29.97;79.41;12.09;bp;34.77;18.39;76.72
